INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:118)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:407)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at org.apache.coyote.ajp.AjpProcessor.process(AjpProcessor.java:200)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:539)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:298)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 	at java.lang.Thread.run(Thread.java:722)
INFO   | jvm 1    | 2012/10/28 09:50:44 | 
INFO   | jvm 1    | 2012/10/28 10:08:52 | Oct 28, 2012 10:08:52 AM org.apache.catalina.realm.LockOutRealm authenticate
INFO   | jvm 1    | 2012/10/28 10:08:52 | WARNING: An attempt was made to authenticate the locked user "tomcat"
INFO   | jvm 1    | 2012/10/28 10:08:52 | Oct 28, 2012 10:08:52 AM org.apache.catalina.realm.LockOutRealm authenticate
INFO   | jvm 1    | 2012/10/28 10:08:52 | WARNING: An attempt was made to authenticate the locked user "tomcat"
INFO   | jvm 1    | 2012/10/28 10:08:53 | Oct 28, 2012 10:08:53 AM org.apache.catalina.realm.LockOutRealm authenticate
INFO   | jvm 1    | 2012/10/28 10:08:53 | WARNING: An attempt was made to authenticate the locked user "tomcat"
INFO   | jvm 1    | 2012/10/28 10:15:44 | Oct 28, 2012 10:15:44 AM org.apache.catalina.core.StandardWrapperValve invoke
INFO   | jvm 1    | 2012/10/28 10:15:44 | SEVERE: Servlet.service() for servlet [dispatcher] in context with path [] threw exception [Request processing failed; nested exception is reformyourcountry.exception.InvalidUrlException: reformyourcountry.model.Article ayant l'url 'budget' est introuvable.] with root cause
INFO   | jvm 1    | 2012/10/28 10:15:44 | javax.persistence.NoResultException: No entity found for query
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.hibernate.ejb.QueryImpl.getSingleResult(QueryImpl.java:291)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at reformyourcountry.controller.BaseController.getRequiredEntityByUrl(BaseController.java:51)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at reformyourcountry.controller.ArticleDisplayController.displayArticle(ArticleDisplayController.java:39)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at reformyourcountry.controller.ArticleDisplayController$$FastClassByCGLIB$$39833318.invoke(<generated>)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at net.sf.cglib.proxy.MethodProxy.invoke(MethodProxy.java:149)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.aop.framework.Cglib2AopProxy$CglibMethodInvocation.invokeJoinpoint(Cglib2AopProxy.java:689)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:150)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:110)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:172)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.aop.framework.Cglib2AopProxy$DynamicAdvisedInterceptor.intercept(Cglib2AopProxy.java:622)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at reformyourcountry.controller.ArticleDisplayController$$EnhancerByCGLIB$$6bc82334.displayArticle(<generated>)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at sun.reflect.GeneratedMethodAccessor119.invoke(Unknown Source)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at java.lang.reflect.Method.invoke(Method.java:601)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.method.support.InvocableHandlerMethod.invoke(InvocableHandlerMethod.java:213)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:126)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:96)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:617)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:578)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:80)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:923)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:852)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:882)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:778)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:621)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:722)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:305)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at com.opensymphony.sitemesh.webapp.SiteMeshFilter.obtainContent(SiteMeshFilter.java:129)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at com.opensymphony.sitemesh.webapp.SiteMeshFilter.doFilter(SiteMeshFilter.java:77)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at reformyourcountry.web.SecurityFilter.doFilter(SecurityFilter.java:35)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at reformyourcountry.web.ContextUtil.doFilter(ContextUtil.java:103)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.orm.jpa.support.OpenEntityManagerInViewFilter.doFilterInternal(OpenEntityManagerInViewFilter.java:147)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:88)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:224)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:169)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:472)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:168)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:98)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:928)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:118)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:407)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.coyote.ajp.AjpProcessor.process(AjpProcessor.java:200)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:539)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:298)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 	at java.lang.Thread.run(Thread.java:722)
INFO   | jvm 1    | 2012/10/28 10:15:44 | 
INFO   | jvm 1    | 2012/10/28 10:20:11 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/signin] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/28 10:31:43 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/28 14:02:54 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/28 14:02:54 | Oct 28, 2012 2:02:54 PM org.apache.catalina.core.StandardWrapperValve invoke
INFO   | jvm 1    | 2012/10/28 14:02:54 | SEVERE: Servlet.service() for servlet [dispatcher] in context with path [] threw exception [Request processing failed; nested exception is reformyourcountry.exception.InvalidUrlException: reformyourcountry.model.Article ayant l'url 'penibilite_d_enseigner' est introuvable.] with root cause
INFO   | jvm 1    | 2012/10/28 14:02:54 | javax.persistence.NoResultException: No entity found for query
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.hibernate.ejb.QueryImpl.getSingleResult(QueryImpl.java:291)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at reformyourcountry.controller.BaseController.getRequiredEntityByUrl(BaseController.java:51)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at reformyourcountry.controller.ArticleDisplayController.displayArticle(ArticleDisplayController.java:39)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at reformyourcountry.controller.ArticleDisplayController$$FastClassByCGLIB$$39833318.invoke(<generated>)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at net.sf.cglib.proxy.MethodProxy.invoke(MethodProxy.java:149)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.aop.framework.Cglib2AopProxy$CglibMethodInvocation.invokeJoinpoint(Cglib2AopProxy.java:689)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:150)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:110)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:172)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.aop.framework.Cglib2AopProxy$DynamicAdvisedInterceptor.intercept(Cglib2AopProxy.java:622)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at reformyourcountry.controller.ArticleDisplayController$$EnhancerByCGLIB$$6bc82334.displayArticle(<generated>)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at sun.reflect.GeneratedMethodAccessor119.invoke(Unknown Source)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at java.lang.reflect.Method.invoke(Method.java:601)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.method.support.InvocableHandlerMethod.invoke(InvocableHandlerMethod.java:213)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:126)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:96)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:617)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:578)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:80)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:923)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:852)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:882)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:778)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:621)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:722)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:305)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at com.opensymphony.sitemesh.webapp.SiteMeshFilter.obtainContent(SiteMeshFilter.java:129)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at com.opensymphony.sitemesh.webapp.SiteMeshFilter.doFilter(SiteMeshFilter.java:77)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at reformyourcountry.web.SecurityFilter.doFilter(SecurityFilter.java:35)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at reformyourcountry.web.ContextUtil.doFilter(ContextUtil.java:103)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.orm.jpa.support.OpenEntityManagerInViewFilter.doFilterInternal(OpenEntityManagerInViewFilter.java:147)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:88)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:243)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:210)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:224)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:169)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:472)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:168)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:98)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:928)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:118)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:407)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.coyote.ajp.AjpProcessor.process(AjpProcessor.java:200)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:539)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:298)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1110)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:603)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 	at java.lang.Thread.run(Thread.java:722)
INFO   | jvm 1    | 2012/10/28 14:02:54 | 
INFO   | jvm 1    | 2012/10/28 18:49:15 | Oct 28, 2012 6:49:15 PM org.apache.catalina.realm.LockOutRealm authenticate
INFO   | jvm 1    | 2012/10/28 18:49:15 | WARNING: An attempt was made to authenticate the locked user "admin"
INFO   | jvm 1    | 2012/10/28 19:33:42 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/29 03:43:45 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/29 07:43:54 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/29 08:23:11 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/29 09:14:33 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/29 10:58:14 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
INFO   | jvm 1    | 2012/10/29 13:08:52 | WARN : org.springframework.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/robots.txt] in DispatcherServlet with name 'dispatcher'
